evidence_id,manual_label,manual_note
1560539,true_positive,ai_ops_271_manual_review_fill
1560540,true_positive,ai_ops_271_manual_review_fill
1560541,true_positive,ai_ops_271_manual_review_fill
1560936,true_positive,ai_ops_271_manual_review_fill
1561264,true_positive,ai_ops_271_manual_review_fill
1561269,true_positive,ai_ops_271_manual_review_fill
1561274,true_positive,ai_ops_271_manual_review_fill
1560854,true_positive,ai_ops_271_manual_review_fill
1560994,true_positive,ai_ops_271_manual_review_fill
1561015,true_positive,ai_ops_271_manual_review_fill
1561145,true_positive,ai_ops_271_manual_review_fill
1561148,true_positive,ai_ops_271_manual_review_fill
