issue_id,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale
parl-initiative:senado:leg14:exp:610/000118,set_clusters,education-culture,"[""education-culture"",""international-relations-treaties""]",Dev,2026-05-10,"UNESCO higher education conference agreement belongs in education/culture and international treaties."
parl-initiative:senado:leg14:exp:610/000097,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""international-relations-treaties""]",Dev,2026-05-10,"Fishing in the international Minho river section belongs in agriculture/fisheries and international treaties."
parl-initiative:senado:leg14:exp:610/000083,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Investment protection agreement with Colombia belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000095,set_clusters,health-care,"[""health-care"",""international-relations-treaties""]",Dev,2026-05-10,"Public health cooperation agreement belongs in health and international treaties."
parl-initiative:senado:leg14:exp:610/000085,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Security and crime cooperation agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000104,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Air transport agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000068,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Modification of air transport convention belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000087,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Modification of air transport agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000072,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Nationality convention with France belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000073,set_clusters,education-culture,"[""education-culture"",""international-relations-treaties""]",Dev,2026-05-10,"Cinematographic coproduction convention belongs in culture and international treaties."
parl-initiative:senado:leg14:exp:610/000115,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Council of Europe public documents convention belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000071,set_clusters,education-culture,"[""education-culture"",""international-relations-treaties""]",Dev,2026-05-10,"Cultural heritage convention belongs in culture and international treaties."
parl-initiative:senado:leg14:exp:610/000076,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Violence and harassment in world of work convention belongs in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000069,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Foreign evidence in civil or commercial matters belongs in justice/legal cooperation and international treaties."
parl-initiative:senado:leg14:exp:610/000094,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Luxembourg protocol on rail equipment guarantees belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000116,set_clusters,climate-environment-water,"[""climate-environment-water"",""international-relations-treaties""]",Dev,2026-05-10,"Montreal Protocol ozone amendment belongs in climate/environment and international treaties."
parl-initiative:senado:leg14:exp:610/000113,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Friendship and cooperation treaty with Portugal belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000091,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Classified information protection agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000090,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Defense export controls agreement belongs in security and international treaties."
parl-initiative:senado:leg14:exp:610/000112,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Security and crime cooperation agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000096,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Decent work for domestic workers convention belongs in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000082,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""international-relations-treaties""]",Dev,2026-05-10,"General Fisheries Commission amendments belong in agriculture/fisheries and international treaties."
parl-initiative:senado:leg14:exp:610/000084,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Social Charter collective complaints protocol belongs in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000111,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Classified defense information agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000114,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"UN counter-terrorism office agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000105,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Common aviation area agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000100,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"NATO accession protocol belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000099,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"NATO accession protocol belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000107,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Youth mobility agreement belongs in social/youth affairs and international treaties."
parl-initiative:senado:leg14:exp:610/000079,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Labor migration flows agreement belongs in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000081,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Air transport agreement belongs in international treaties."
parl-initiative:senado:leg15:exp:610/000004,set_clusters,climate-environment-water,"[""climate-environment-water"",""international-relations-treaties""]",Dev,2026-05-10,"European bats conservation agreement belongs in environment and international treaties."
parl-initiative:senado:leg14:exp:610/000108,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Crime and security cooperation agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000109,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Friendship and cooperation treaty belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000050,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"IFAD cofinancing agreement belongs in agriculture finance and international treaties."
parl-initiative:senado:leg14:exp:610/000047,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"IMF loan agreement belongs in public finance and international treaties."
parl-initiative:senado:leg14:exp:610/000103,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Air transport agreement belongs in international treaties."
parl-initiative:senado:leg15:exp:610/000002,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Social Security convention belongs in labor/social protection and international treaties."
parl-initiative:senado:leg14:exp:610/000051,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Double taxation convention belongs in public finance/taxation and international treaties."
parl-initiative:senado:leg15:exp:610/000008,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""health-care"",""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Agriculture safety and health convention belongs in agriculture health labor and international treaties."
parl-initiative:senado:leg15:exp:610/000003,set_clusters,health-care,"[""health-care"",""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Construction safety and health convention belongs in health labor and international treaties."
parl-initiative:senado:leg14:exp:610/000058,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Foreign evidence in civil or commercial matters belongs in justice/legal cooperation and international treaties."
parl-initiative:senado:leg15:exp:622/000015,set_clusters,labor-social-rights,"[""labor-social-rights"",""health-care""]",Dev,2026-05-10,"Disability rights and social inclusion belong in labor/social rights and health/care."
parl-initiative:senado:leg14:exp:610/000106,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Common aviation area agreement belongs in international treaties."
