issue_id,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale
parl-initiative:senado:leg14:exp:621/000012,accept_current,education-culture,"[""education-culture""]",Dev,2026-05-10,"Reviewed title: organic education law belongs in education/culture."
parl-initiative:senado:leg14:exp:621/000013,accept_current,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-10,"Reviewed title: annual state budget bill belongs in public finance/taxation."
parl-initiative:senado:leg15:exp:621/000001,accept_current,education-culture,"[""education-culture""]",Dev,2026-05-10,"Reviewed title: artistic education law belongs in education/culture."
parl-initiative:senado:leg14:exp:621/000010,accept_current,agriculture-food-rural,"[""agriculture-food-rural""]",Dev,2026-05-10,"Reviewed title: urgent agriculture and food measures belong in agriculture/food/rural affairs."
parl-initiative:senado:leg14:exp:621/000005,set_clusters,public-finance-taxation,"[""public-finance-taxation"", ""digital-finance-technology""]",Dev,2026-05-10,"Reviewed title: digital services tax is primarily public finance, with digital-services overlap."
parl-initiative:senado:leg14:exp:621/000006,accept_current,public-finance-taxation,"[""public-finance-taxation"", ""digital-finance-technology""]",Dev,2026-05-10,"Reviewed title: financial transactions tax is public finance with financial-system overlap."
parl-initiative:senado:leg14:exp:621/000007,accept_current,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Reviewed title: justice administration COVID procedural measures belong in justice/security/rights."
parl-initiative:senado:leg15:exp:626/000004,accept_current,parliamentary-procedure,"[""parliamentary-procedure""]",Dev,2026-05-10,"Reviewed title: Senate rules reform belongs in parliamentary procedure."
parl-initiative:senado:leg14:exp:621/000011,accept_current,climate-environment-water,"[""climate-environment-water""]",Dev,2026-05-10,"Reviewed title: greenhouse-gas emissions trading law belongs in climate/environment."
parl-initiative:senado:leg14:exp:621/000009,accept_current,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-10,"Reviewed title: General Tax Law and EU tax-transparency transposition belong in public finance/taxation."
